DRG_Cd,DRG_Desc,Hospital_Count,Total_Patients,Avg_Billed,Avg_Paid,Avg_Gap,Charge_To_Payment_Ratio
581,"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC",4,91.0,226612.02,14570.44,212041.58,15.55
714,TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC,1,15.0,126639.6,9319.6,117320.0,13.59
350,INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC,1,11.0,206517.64,15377.45,191140.18,13.43
30,SPINAL PROCEDURES WITHOUT CC/MCC,1,20.0,316297.85,27260.05,289037.8,11.6
89,CONCUSSION WITH CC,4,94.0,117676.41,11032.66,106643.74,10.67
152,OTITIS MEDIA AND URI WITH MCC,2,32.0,162248.1,18637.08,143611.02,8.71
352,INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC,1,11.0,128313.91,14959.36,113354.55,8.58
513,"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC",3,33.0,120512.45,14059.33,106453.12,8.57
941,O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC,1,11.0,202205.91,24540.73,177665.18,8.24
734,"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC",2,28.0,170618.35,20703.57,149914.78,8.24
717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC,2,34.0,161003.59,20357.28,140646.31,7.91
652,KIDNEY TRANSPLANT,158,6202.0,336972.64,43126.4,293846.23,7.81
512,"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",1,11.0,87915.55,11413.64,76501.91,7.7
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,72,1091.0,66579.21,8763.23,57815.98,7.6
741,UTERINE AND ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC,6,74.0,106922.49,14203.36,92719.13,7.53
311,ANGINA PECTORIS,5,61.0,59493.41,7959.07,51534.33,7.47
650,KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC,95,2130.0,429228.37,57557.29,371671.08,7.46
663,MINOR BLADDER PROCEDURES WITH CC,2,23.0,95220.95,12867.61,82353.34,7.4
904,SKIN GRAFTS FOR INJURIES WITH CC/MCC,2,28.0,317992.64,43640.98,274351.66,7.29
585,"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC",2,35.0,158592.92,22016.98,136575.95,7.2
