Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Total_Patients,Avg_Billed,Avg_Paid,Charge_Ratio,Efficiency_Label
Provident Hospital Of Chicago,Chicago,IL,16.0,26236.94,86722.38,0.3,Highly Efficient
Harris Health,Houston,TX,254.0,38063.38,128106.14,0.3,Highly Efficient
Tuba City Regional Health Care Corporation,Tuba City,AZ,174.0,10973.1,16368.67,0.67,Highly Efficient
Washington County Regional Medical Center,Sandersville,GA,11.0,7554.91,10175.45,0.74,Highly Efficient
University Health Lakewood Medical Center,Kansas City,MO,68.0,21949.97,29188.75,0.75,Highly Efficient
Bibb Medical Center,Centreville,AL,25.0,8002.81,10407.17,0.77,Highly Efficient
John H Stroger Jr Hospital,Chicago,IL,318.0,55819.87,69204.3,0.81,Highly Efficient
Wilmington Treatment Center,Wilmington,NC,426.0,4321.03,5053.42,0.86,Highly Efficient
Ed Fraser Memorial Hospital,Macclenny,FL,81.0,22353.8,25354.87,0.88,Highly Efficient
P H S Indian Hosp At Belcourt-Quentin N Burdick,Belcourt,ND,35.0,14989.69,16759.9,0.89,Highly Efficient
Touchette Regional Hospital Inc,Centreville,IL,62.0,13461.4,15057.6,0.89,Highly Efficient
University Of Md Charles Regional  Medical Center,La Plata,MD,1678.0,21603.1,23776.5,0.91,Highly Efficient
Wiregrass Medical Center,Geneva,AL,23.0,12788.52,13812.09,0.93,Highly Efficient
Neshoba County General Hospital,Philadelphia,MS,42.0,8396.8,8969.73,0.94,Highly Efficient
University Health Truman Medical Center,Kansas City,MO,219.0,24380.49,25375.64,0.96,Highly Efficient
Yalobusha General Hospital,Water Valley,MS,25.0,5902.53,5874.86,1.0,Highly Efficient
Community Fairbanks Recovery Center,Indianapolis,IN,45.0,12313.42,12274.27,1.0,Highly Efficient
Surgeons Choice Medical Center,Southfield,MI,154.0,7217.7,7006.22,1.03,Highly Efficient
Healthsource Saginaw,Saginaw,MI,12.0,7580.5,7278.42,1.04,Highly Efficient
University Of Md Capital Region Medical Center,Upper Marlboro,MD,1555.0,33228.11,32035.31,1.04,Highly Efficient
